Time (s),Emotion,Confidence,Blink,Eye_Distance,Mouth_Open,Mouth_Width,Eyebrow_Lift,Nose_X,Nose_Flare
3,sad,51.910656690597534,0,0.02606433629989624,0.0009823441505432129,0.12184494733810425,-0.04375940561294556,0.5855006575584412,0.09499764442443848
8,sad,66.60102605819702,0,0.029561936855316162,0.006849825382232666,0.14152908325195312,-0.05762374401092529,0.5444314479827881,0.08928987383842468
12,neutral,77.63922214508057,0,0.027829408645629883,0.0006049275398254395,0.1620374321937561,-0.06267023086547852,0.5483176708221436,0.09959474205970764
14,neutral,52.95826196670532,1,0.005218058824539185,0.00036197900772094727,0.15952235460281372,-0.08692777156829834,0.5504119396209717,0.09844857454299927
17,happy,97.8391888333334,0,0.028122514486312866,0.0002243518829345703,0.17657005786895752,-0.06192350387573242,0.5778398513793945,0.1064031720161438
19,happy,98.92962587718655,0,0.027848482131958008,0.028469324111938477,0.17591583728790283,-0.06156700849533081,0.5708972215652466,0.10434621572494507
22,happy,73.25080314288176,1,0.003453195095062256,0.003900289535522461,0.18009477853775024,-0.08912491798400879,0.5684301853179932,0.10646581649780273
25,happy,98.68287428413323,0,0.038213640451431274,0.0044596195220947266,0.18530875444412231,-0.04823201894760132,0.5829966068267822,0.105335533618927
28,happy,98.53128186054718,0,0.03977814316749573,0.023271381855010986,0.18351271748542786,-0.04444986581802368,0.5904387831687927,0.1054384708404541
30,neutral,88.91987800598145,0,0.04998841881752014,0.0701410174369812,0.1421196460723877,-0.049379050731658936,0.6067275404930115,0.09126108884811401
34,sad,68.8534300835985,1,0.004475533962249756,0.005748629570007324,0.15240460634231567,-0.09062683582305908,0.58432537317276,0.09365320205688477
36,neutral,63.27754259109497,0,0.04681167006492615,0.00028502941131591797,0.17690172791481018,-0.03913676738739014,0.5857419371604919,0.10580098628997803
39,sad,87.57328987121582,0,0.03246665000915527,0.017095446586608887,0.15052372217178345,-0.06537550687789917,0.566563069820404,0.09988236427307129
42,sad,90.8990204334259,1,0.002533048391342163,0.0075078606605529785,0.15476679801940918,-0.09162527322769165,0.5813721418380737,0.10259723663330078
44,neutral,99.85213875770569,0,0.045128971338272095,1.1324882507324219e-05,0.14558982849121094,-0.04651361703872681,0.5922263860702515,0.09666597843170166
47,sad,92.17209219932556,1,0.0034776031970977783,0.00020813941955566406,0.1407434344291687,-0.09492814540863037,0.6028243899345398,0.09653031826019287
49,sad,95.88367938995361,0,0.03328990936279297,0.0008665919303894043,0.14828938245773315,-0.06408888101577759,0.611153244972229,0.0965304970741272
52,neutral,99.7997522234769,0,0.04617080092430115,0.000540614128112793,0.15045112371444702,-0.046499788761138916,0.612622857093811,0.09926462173461914
54,neutral,94.2767322063446,0,0.03793671727180481,0.0007014870643615723,0.1432356834411621,-0.03797680139541626,0.6028900742530823,0.09689724445343018
57,neutral,99.9159574508667,0,0.04059946537017822,0.0008805990219116211,0.1462411880493164,-0.03730076551437378,0.5944528579711914,0.09775948524475098
60,neutral,85.23549437522888,0,0.034851670265197754,0.0034294724464416504,0.1782873272895813,-0.04696857929229736,0.6063074469566345,0.11014419794082642
63,neutral,99.98561143703597,0,0.04754474759101868,0.00045502185821533203,0.14748483896255493,-0.04317128658294678,0.6024417877197266,0.0994570255279541
66,neutral,99.97950196266174,0,0.05078509449958801,0.0015911459922790527,0.15007632970809937,-0.038369953632354736,0.5995913743972778,0.10231447219848633
69,neutral,99.59797859191895,0,0.04950645565986633,0.000504612922668457,0.15727227926254272,-0.04134279489517212,0.6036466360092163,0.10434359312057495
72,sad,91.6829764842987,0,0.03111216425895691,8.273124694824219e-05,0.17734917998313904,-0.06059849262237549,0.597316324710846,0.10790514945983887
77,neutral,99.99762773513794,0,0.049897968769073486,0.003753364086151123,0.14784058928489685,-0.040101051330566406,0.5847141742706299,0.0990593433380127
80,neutral,66.29446744918823,1,0.005789905786514282,0.003286898136138916,0.18191859126091003,-0.09167325496673584,0.583461582660675,0.11232411861419678
83,happy,85.039222240448,0,0.04095861315727234,0.001269221305847168,0.17316114902496338,-0.04093712568283081,0.5769060254096985,0.10488581657409668
86,neutral,68.3513381062343,0,0.030543744564056396,0.004755854606628418,0.16029447317123413,-0.05835747718811035,0.5362643599510193,0.09660714864730835
88,neutral,93.067866563797,0,0.038422971963882446,0.0031505823135375977,0.16018584370613098,-0.04139125347137451,0.559432327747345,0.10111629962921143
91,sad,84.70600247383118,0,0.029587626457214355,0.00161665678024292,0.14427343010902405,-0.05626600980758667,0.5832802653312683,0.09898751974105835
94,sad,70.0417160987854,0,0.031637996435165405,0.0017040371894836426,0.14949515461921692,-0.05728250741958618,0.5722925662994385,0.09405559301376343
